hash ocean.pico.overturning_coefficent ocean.pico.heat_exchange_coefficent
10175477 15000000.0 0.0001
600a07aa 15000000.0 0.000125
f5900399 17500000.0 1e-06
225301c7 17500000.0 5e-06
382279dc 17500000.0 1e-05
b7259a32 17500000.0 1.5e-05
ffddc505 17500000.0 2e-05
96024449 17500000.0 2.5e-05
207e3b38 17500000.0 3e-05
a8bf1f4a 17500000.0 3.5e-05
06c2f6e9 17500000.0 4e-05
76053c0f 17500000.0 4.5e-05
273bb17e 17500000.0 5e-05
4eb4d0cb 17500000.0 7.5e-05
2b3c4c3b 17500000.0 0.0001
03c5faa2 17500000.0 0.000125
157d4db2 20000000.0 1e-06
930ae418 20000000.0 5e-06
930cda5e 20000000.0 1e-05
15ee5e6d 20000000.0 1.5e-05
d1253e49 20000000.0 2e-05
e82e1c50 20000000.0 2.5e-05
6558fe61 20000000.0 3e-05
196edd1e 20000000.0 3.5e-05
d3c7018d 20000000.0 4e-05
ccd1fc05 20000000.0 4.5e-05
21eb55f8 20000000.0 5e-05
69a82bbf 20000000.0 7.5e-05
eb9bf8f3 20000000.0 0.0001
ec309d1e 20000000.0 0.000125
