hash ocean.pico.overturning_coefficent ocean.pico.heat_exchange_coefficent
ee8f65fd 100000.0 1e-06
0f40f1ef 100000.0 2.5e-06
857e9fd2 100000.0 5e-06
83f3e03d 100000.0 7.5e-06
e89d93e7 100000.0 1e-05
52bdd9bc 100000.0 2.5e-05
19432721 100000.0 5e-05
c1ad85bb 100000.0 7.5e-05
81e0fcf4 100000.0 0.0001
56fcf892 100000.0 0.000125
29728425 100000.0 0.00015
3dce6516 100000.0 0.000175
42385f81 100000.0 0.0002
4bbc33e4 250000.0 1e-06
da5e8b91 250000.0 2.5e-06
9217ed61 250000.0 5e-06
a50b622a 250000.0 7.5e-06
d961c136 250000.0 1e-05
c11a9715 250000.0 2.5e-05
6f129339 250000.0 5e-05
9fa3a496 250000.0 7.5e-05
1eee4759 250000.0 0.0001
dd4f0e7f 250000.0 0.000125
498380f3 250000.0 0.00015
ced85d94 250000.0 0.000175
488fad8d 250000.0 0.0002
f96f9687 500000.0 1e-06
ef92bb7c 500000.0 2.5e-06
6ab74315 500000.0 5e-06
2969d983 500000.0 7.5e-06
6b295612 500000.0 1e-05
f055de53 500000.0 2.5e-05
cb1a0a71 500000.0 5e-05
7829166a 500000.0 7.5e-05
6ecbdfae 500000.0 0.0001
cf27e2b5 500000.0 0.000125
73154fbe 500000.0 0.00015
c343432c 500000.0 0.000175
4aa4b0fe 500000.0 0.0002
4d94c9cb 750000.0 1e-06
b6dbb656 750000.0 2.5e-06
a9049cee 750000.0 5e-06
d192741c 750000.0 7.5e-06
7670384d 750000.0 1e-05
c4bf0afc 750000.0 2.5e-05
1df6b377 750000.0 5e-05
005bfa5e 750000.0 7.5e-05
537479ee 750000.0 0.0001
84bb2229 750000.0 0.000125
5ed8a8f0 750000.0 0.00015
19607667 750000.0 0.000175
ba52b8ca 750000.0 0.0002
4c98f097 1000000.0 1e-06
a82e69ea 1000000.0 2.5e-06
3134f6da 1000000.0 5e-06
4246b21a 1000000.0 7.5e-06
6fdad69c 1000000.0 1e-05
184d26c7 1000000.0 2.5e-05
b34c6a9a 1000000.0 5e-05
b2f05118 1000000.0 7.5e-05
a87ef61f 1000000.0 0.0001
11d313c6 1000000.0 0.000125
cd9bee72 1000000.0 0.00015
eff31df2 1000000.0 0.000175
30cc9ccd 1000000.0 0.0002
ef56ff10 2500000.0 1e-06
ef8029df 2500000.0 2.5e-06
c74b7ef8 2500000.0 5e-06
f0b99856 2500000.0 7.5e-06
0cb13f1b 2500000.0 1e-05
52285d2b 2500000.0 2.5e-05
644c8c58 2500000.0 5e-05
77f8991d 2500000.0 7.5e-05
d21dc799 2500000.0 0.0001
42d1061f 2500000.0 0.000125
4177be50 2500000.0 0.00015
9ed228df 2500000.0 0.000175
0a278201 2500000.0 0.0002
7941566c 5000000.0 1e-06
cf8c8367 5000000.0 2.5e-06
797b1552 5000000.0 5e-06
c37457fa 5000000.0 7.5e-06
4870312d 5000000.0 1e-05
5f543317 5000000.0 2.5e-05
79cbc145 5000000.0 5e-05
ace64333 5000000.0 7.5e-05
4833dc7d 5000000.0 0.0001
e1d3da1a 5000000.0 0.000125
dbc538d2 5000000.0 0.00015
fc55e497 5000000.0 0.000175
2f2606a0 5000000.0 0.0002
1f0f2e5b 7500000.0 1e-06
b867cb5a 7500000.0 2.5e-06
37cf53ff 7500000.0 5e-06
22fc7677 7500000.0 7.5e-06
4427fed6 7500000.0 1e-05
e284721f 7500000.0 2.5e-05
aa1f95c2 7500000.0 5e-05
4f37ddec 7500000.0 7.5e-05
4c20c1ff 7500000.0 0.0001
7434c9bc 7500000.0 0.000125
43af5e71 7500000.0 0.00015
0757459d 7500000.0 0.000175
6bb7d681 7500000.0 0.0002
d61f8137 10000000.0 1e-06
8a3d6c75 10000000.0 2.5e-06
b5dfbb49 10000000.0 5e-06
58010528 10000000.0 7.5e-06
bcb2c614 10000000.0 1e-05
3b3302f8 10000000.0 2.5e-05
babd12ad 10000000.0 5e-05
d7b09193 10000000.0 7.5e-05
114532e1 10000000.0 0.0001
74cc2044 10000000.0 0.000125
