hash ocean.pico.overturning_coefficent ocean.pico.heat_exchange_coefficent
85dba6d8 10000000.0 0.00015
559eeda3 10000000.0 0.000175
a82918ca 10000000.0 0.0002
dcb8eb76 12500000.0 1e-06
b5e0d9a6 12500000.0 2.5e-06
34390a3b 12500000.0 5e-06
7315a19b 12500000.0 7.5e-06
00c6a685 12500000.0 1e-05
30edb836 12500000.0 2.5e-05
62413145 12500000.0 5e-05
5432f994 12500000.0 7.5e-05
74c7daa4 12500000.0 0.0001
4607df24 12500000.0 0.000125
8a3a1cac 12500000.0 0.00015
b3819dbd 12500000.0 0.000175
14bdc824 12500000.0 0.0002
b4233472 15000000.0 1e-06
a3431cfb 15000000.0 2.5e-06
8463ea76 15000000.0 5e-06
22cdc7e2 15000000.0 7.5e-06
512d4cf9 15000000.0 1e-05
29fb01e3 15000000.0 2.5e-05
6177f72c 15000000.0 5e-05
47748184 15000000.0 7.5e-05
10175477 15000000.0 0.0001
600a07aa 15000000.0 0.000125
f774b90e 15000000.0 0.00015
c496fb84 15000000.0 0.000175
b939e710 15000000.0 0.0002
f5900399 17500000.0 1e-06
d8fcee12 17500000.0 2.5e-06
225301c7 17500000.0 5e-06
0d6509e7 17500000.0 7.5e-06
382279dc 17500000.0 1e-05
96024449 17500000.0 2.5e-05
273bb17e 17500000.0 5e-05
4eb4d0cb 17500000.0 7.5e-05
2b3c4c3b 17500000.0 0.0001
03c5faa2 17500000.0 0.000125
11b8ca0d 17500000.0 0.00015
29a667a9 17500000.0 0.000175
7d63c3b2 17500000.0 0.0002
157d4db2 20000000.0 1e-06
e163b5ae 20000000.0 2.5e-06
930ae418 20000000.0 5e-06
9db29e77 20000000.0 7.5e-06
930cda5e 20000000.0 1e-05
e82e1c50 20000000.0 2.5e-05
21eb55f8 20000000.0 5e-05
69a82bbf 20000000.0 7.5e-05
eb9bf8f3 20000000.0 0.0001
ec309d1e 20000000.0 0.000125
05e3acba 20000000.0 0.00015
7dc09088 20000000.0 0.000175
910cc943 20000000.0 0.0002
